0.9,1,0.4,2,1,4	0
banging	wall_paint	0.654104303966
bangle	equilateral	0.614995005528
banjo	faience	0.629370709947
bank	sand_dollar	0.591545163441
banknote	copperplate	0.697593404846
bankrupt	unemployed_person	0.608010464421
bar	chocolate_bar	0.865570359548
barbecue	spicy	0.704885027248
barbell	equilateral	0.627834739181
barber	man_mark	0.631300248958
bare	back_garden	0.626878963333
bargain	peace_sign	0.643247122361
barge	land_transportation_device	0.628138634791
bark	brown_hyena	0.720675714887
barrel	machine_gun	0.612341937147
barrier	water_route	0.614416740364
base	work_in_office	0.600903288146
baseball	national_emblem	0.581921837761
basement	house_wall	0.754693280556
bashful	expressionlessly	0.653004727642
basic	template_method_pattern	0.603624562148
basil	basil	1.0
basin	liquid_food	0.621914722733
basket	bottle_sling	0.635792501191
bass	pavement_artist	0.603969437987
bat	bowl_ball	0.748357460842
bath	pleasure_garden	0.65978248702
bathe	swim_underwater	0.686726759736
bathing	roughcast	0.632498927089
bathrobe	blonde_person	0.651233930119
bathroom	shower_room	0.855587896886
bathtub	laundry_room	0.706221296634
batman	chiaroscuro	0.60294510007
baton	blow_dart_gun	0.680581215447
batter	off_one's_game	0.648041602053
battery	optical_device	0.687689344088
battle	night_blind	0.568971813211
bay	dark_area	0.65005186583
bazaar	patchwork_quilt	0.625693782797
beach	sandy_beach	0.923126631523
beaded	basketweave	0.773549838757
beads	collage	0.636148113193
beam	camera_lucida	0.653903808768
beanbag	screen_shoot	0.619107202803
beanie	smiley_face	0.655836030461
beans	coffee_bean	0.841589186928
beard	beardless_iris	0.729870162081
beast	squirrel_monkey	0.702542325699
beat	screen_shoot	0.613786987008
beauty	landscape_garden	0.705042344748
beaver	squirrel_monkey	0.777383619085
bed	flower_garden	0.663804007923
bedding	water_color	0.657615190999
bedroom	bungalow	0.821389543949
bee	honey_bee	0.934089463283
beef	milk_chocolate	0.694658280405
beehive	sculpturally	0.63393980111
beetle	cabbage_moth	0.821362979421
before	you_enjoy_it	0.621194151953
beggar	office_boy	0.626493964835
belief	view_model	0.664868046843
believe	look_through	0.652502472138
0.9,1,0.4,2,1,4	164.240041506
